Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Price_per_km
1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,First,10.91,3198.0,197.2,7.0,11.48,32.44,False,False,False,6,0.001061796281749149
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Second,22.32,1582.0,126.32,5.0,11.48,8.01,False,False,False,8,0.0001784958217270195
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,First,18.16,1196.0,86.8,5.0,11.48,6.48,False,True,True,7,0.00025821876867901974
1433,Maruti 800 AC,Jaipur,2007,59000,First,16.1,796.0,37.0,4.0,11.48,0.75,False,True,True,17,1.2711864406779661e-05
1434,Honda City i DTEC V,Kolkata,2014,36000,First,26.0,1498.0,98.6,5.0,11.48,5.0,False,False,True,10,0.0001388888888888889
1435,Mahindra XUV500 W8 2WD,Mumbai,2012,37000,First,16.0,2179.0,140.0,7.0,11.48,7.75,False,False,True,12,0.00020945945945945947
1436,Ford Figo Diesel ZXI,Chennai,2010,90000,First,20.0,1399.0,68.0,5.0,11.48,2.6,False,False,True,14,2.8888888888888888e-05
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,17.0,1497.0,121.36,5.0,11.06,9.2,False,True,True,6,0.0005411764705882352
1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,First,18.6,1197.0,81.83,5.0,11.48,5.05,False,True,True,9,0.00011861421021726365
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,First,12.99,2494.0,100.0,7.0,11.48,9.6,False,False,True,12,7.32824427480916e-05
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,First,20.46,1461.0,83.8,5.0,11.48,5.5,False,False,True,11,7.432432432432433e-05
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,First,12.99,2494.0,100.6,8.0,11.48,9.35,False,False,True,11,0.00019795062878435026
1442,Honda City 1.5 S MT,Delhi,2009,231673,First,17.0,1497.0,118.0,5.0,11.48,2.6,False,True,True,15,1.1222714774704001e-05
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,First,24.07,998.0,67.1,5.0,4.53,3.5,False,True,True,8,0.00035
1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,First,19.49,1198.0,67.04,5.0,11.48,4.26,False,True,True,8,8.625402417542367e-05
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Second,23.1,998.0,67.04,5.0,11.48,4.25,False,True,False,8,0.0003541666666666667
1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Second,11.7,1796.0,178.0,5.0,11.48,11.75,False,True,True,14,0.00018076923076923077
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,First,23.5,1498.0,88.7,5.0,11.48,3.5,False,False,True,11,1.9774011299435028e-05
1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,First,17.01,1591.0,121.3,5.0,11.48,7.5,False,True,True,9,8.426966292134831e-05
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Third,15.0,1396.0,100.0,5.0,11.48,3.25,False,True,False,15,4.513888888888889e-05
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,First,17.5,1298.0,85.8,5.0,11.48,4.9,False,True,True,12,0.0001
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,First,14.84,2143.0,170.0,5.0,11.48,27.0,False,False,False,10,0.0005257521176126959
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,First,18.6,1197.0,81.86,5.0,11.48,8.91,False,True,True,7,0.000661961367013373
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,First,17.01,1591.0,121.4,5.0,11.48,6.69,False,True,False,10,0.00018769990460692444
1454,Chevrolet Cruze LTZ,Kochi,2014,52895,First,17.3,1998.0,163.7,5.0,11.48,6.02,False,False,True,10,0.00011381037905284053
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,14.28,1798.0,138.03,5.0,19.39,4.5,False,True,True,14,4.838709677419355e-05
1456,Maruti A-Star Vxi,Pune,2011,70000,First,19.0,998.0,66.1,5.0,11.48,2.0,False,True,True,13,2.857142857142857e-05
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,First,23.08,1461.0,63.1,5.0,11.48,2.4,False,False,True,12,7.488766849725411e-05
1458,Tata Nano LX,Pune,2013,4700,First,25.4,624.0,37.48,4.0,11.48,1.2,False,True,True,11,0.0002553191489361702
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,First,23.4,1248.0,74.0,5.0,11.48,2.9,False,False,True,10,4.0389972144846796e-05
1460,Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,First,0.0,1497.0,98.6,,11.48,40.88,False,True,True,16,0.000591794782709401
1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,First,17.32,1968.0,184.0,5.0,11.48,27.0,False,False,False,8,0.0006
1462,Honda Amaze VX i-DTEC,Chennai,2016,15388,First,25.8,1498.0,98.6,5.0,11.48,7.5,False,False,True,8,0.0004873927735898102
1463,Chevrolet Optra 1.6 LS,Mumbai,2004,98798,First,14.7,1599.0,104.0,5.0,11.48,1.5,False,True,True,20,1.5182493572744387e-05
1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,First,14.16,1968.0,174.3,5.0,11.48,39.5,False,False,False,8,0.0009186046511627907
1465,Maruti Ritz VDi,Hyderabad,2012,85112,First,23.2,1248.0,73.94,5.0,11.48,3.39,False,False,True,12,3.982987122849892e-05
1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,First,15.4,2179.0,120.0,7.0,11.48,12.4,False,False,True,6,0.0003280076182414559
1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,First,28.09,1248.0,88.5,5.0,11.48,6.85,False,False,True,10,0.0001522222222222222
1468,Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Second,21.43,1364.0,138.0,5.0,11.48,5.75,False,False,True,13,4.956896551724138e-05
1469,Tata Indica V2 eLS,Chennai,2015,100073,Second,25.0,1396.0,69.0,5.0,11.48,2.0,False,False,True,9,1.9985410650225334e-05
1470,Maruti 800 Std BSIII,Jaipur,2006,165000,First,16.1,796.0,37.0,4.0,11.48,0.9,False,True,True,18,5.4545454545454545e-06
1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,First,16.47,1198.0,74.0,5.0,11.48,3.8,False,True,True,9,0.00017272727272727272
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999.0,149.92,5.0,21.77,16.35,False,True,False,7,0.0017210526315789476
1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,First,11.5,2982.0,169.0,7.0,11.48,16.5,False,False,False,12,0.00010855263157894737
1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,First,21.4,1197.0,83.1,5.0,11.48,8.7,False,True,True,5,0.0004913866139508613
1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,First,21.4,1197.0,83.1,5.0,11.48,6.1,False,True,True,8,0.0005083333333333333
1476,Mini Cooper Countryman D,Hyderabad,2013,51000,First,23.8,1998.0,112.0,5.0,11.48,21.94,False,False,False,11,0.00043019607843137255
1477,Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Second,13.0,2987.0,210.0,5.0,11.48,22.0,False,False,False,15,0.0005238095238095238
1478,Maruti Alto K10 LXI,Delhi,2015,51000,First,20.92,998.0,67.1,5.0,11.48,2.65,False,True,True,9,5.196078431372549e-05
1479,Maruti Swift VXI Optional,Kochi,2017,42527,First,20.4,1197.0,81.8,5.0,11.48,5.27,False,True,True,7,0.00012392127354386625
1480,Chevrolet Sail LT ABS,Kolkata,2014,45000,First,22.1,1248.0,74.0,5.0,11.48,2.48,False,False,True,10,5.511111111111111e-05
1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,First,12.8,2494.0,102.0,8.0,11.48,6.0,False,False,True,13,8.571428571428571e-05
1482,Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,First,11.5,2982.0,171.0,7.0,11.48,8.9,False,False,True,15,9.673913043478261e-05
1483,BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Second,18.88,1995.0,184.0,5.0,11.48,18.0,False,False,False,12,0.0003149275666596683
1484,Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,First,16.8,1395.0,138.02,5.0,11.48,11.64,False,True,True,8,0.00021875176185375206
1485,Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,First,11.5,2982.0,171.0,7.0,11.48,8.99,False,False,True,5,0.00011237500000000001
1486,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,First,15.5,1896.0,105.0,5.0,11.48,5.25,False,False,False,15,7.094594594594594e-05
1487,Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,First,23.0,1396.0,90.0,5.0,11.48,2.95,False,False,True,13,7.972972972972974e-05
1488,Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Second,21.02,1248.0,88.76,5.0,11.48,2.65,False,False,True,11,4.140625e-05
1489,Volkswagen Vento Petrol Highline,Pune,2013,57197,First,15.04,1598.0,103.6,5.0,11.48,4.0,False,True,True,11,6.993373778345019e-05
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582.0,126.2,5.0,18.35,12.5,False,False,False,8,0.00022727272727272727
1491,Maruti Ritz VXI,Mumbai,2014,33000,First,21.1,1197.0,85.8,5.0,11.48,3.25,False,True,True,10,9.848484848484849e-05
1492,Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,First,13.1,1997.0,141.1,5.0,11.48,4.0,False,True,True,16,5.714285714285714e-05
1493,Mahindra XUV500 W8 2WD,Delhi,2012,75000,Second,15.1,2179.0,140.0,7.0,11.48,6.25,False,False,True,12,8.333333333333333e-05
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,21.66,1498.0,108.62,5.0,9.19,5.8,False,False,True,8,9.983647473965057e-05
1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,17.57,1193.0,88.7,5.0,8.09,5.0,False,True,True,9,0.000671591672263264
1496,Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,First,12.9,2993.0,270.88,5.0,11.48,58.73,False,False,False,8,0.0033271017448447764
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798.0,138.03,5.0,23.25,17.49,False,True,False,6,0.0006175629391617527
1498,Maruti A-Star Vxi,Pune,2011,69000,Second,19.0,998.0,66.1,5.0,11.48,1.95,False,True,True,13,2.8260869565217392e-05
1499,Honda Accord VTi-L (AT),Mumbai,2007,80000,First,11.1,2354.0,142.0,5.0,11.48,3.0,False,True,False,17,3.75e-05
1500,Hyundai i20 Asta (o),Delhi,2014,42365,First,17.0,1197.0,80.0,5.0,11.48,5.5,False,True,True,10,0.0001298241472913962
1501,Toyota Fortuner 4x2 AT,Delhi,2013,123000,First,12.55,2982.0,168.5,7.0,11.48,16.5,False,False,False,11,0.00013414634146341464
1502,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Second,11.74,1796.0,186.0,5.0,11.48,14.5,False,True,False,13,0.0003625
1503,Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,First,27.39,1248.0,74.0,5.0,11.48,7.79,False,False,True,8,0.0002587008501594049
1504,Maruti Ertiga VDI,Kochi,2017,43775,First,20.77,1248.0,88.76,7.0,11.48,8.27,False,False,True,7,0.00018892061679040548
1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993.0,255.0,5.0,1.39,97.07,False,False,False,5,0.0037315957405912427
1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,First,12.9,1598.0,102.5,5.0,11.48,2.15,False,True,True,12,3.839285714285714e-05
1507,Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Second,12.9,1799.0,130.0,5.0,11.48,3.0,False,True,False,16,3.157894736842105e-05
1508,BMW X3 xDrive20d,Coimbatore,2014,41089,First,16.09,1995.0,184.0,5.0,11.48,28.79,False,False,False,10,0.0007006741463652073
1509,Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,First,20.0,1968.0,138.1,5.0,11.48,5.45,False,False,False,13,0.00012979899018767267
1510,Maruti Swift Dzire VDI,Delhi,2013,72486,First,23.4,1248.0,74.0,5.0,11.48,3.95,False,False,True,11,5.449328146124769e-05
1511,Volvo V40 Cross Country D3,Pune,2013,92000,First,23.3,1984.0,150.0,5.0,11.48,16.0,False,False,False,11,0.00017391304347826088
1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,First,17.5,1298.0,85.8,5.0,11.48,4.25,False,True,True,11,0.00010625
1513,Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,First,12.7,2179.0,187.7,5.0,11.48,34.5,False,False,False,10,0.0006160714285714286
1514,Honda Accord 2.4 AT,Mumbai,2008,125000,Third,11.7,2354.0,177.6,5.0,11.48,2.6,False,True,False,16,2.08e-05
1515,Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,First,12.99,2494.0,100.6,8.0,11.48,13.48,False,False,True,7,0.00046134364625757216
1516,Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,First,12.55,2982.0,168.5,7.0,11.48,32.1,False,False,True,6,0.0008039672402133895
1517,Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,First,18.7,1199.0,88.7,5.0,11.48,6.17,False,True,True,6,0.00015987355219858524
1518,Honda City 1.5 V MT,Kolkata,2015,32000,First,17.0,1497.0,118.0,5.0,11.48,5.5,False,True,True,9,0.000171875
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,28.4,1248.0,73.75,5.0,11.52,9.15,False,False,False,7,0.00032416920569687524
1520,Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,First,21.64,1461.0,84.8,5.0,11.48,4.5,False,False,True,10,4.736842105263158e-05
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,First,12.99,2494.0,100.6,8.0,11.48,10.5,False,False,True,10,5.4123711340206184e-05
1522,Honda Brio S MT,Coimbatore,2016,14821,First,19.4,1198.0,86.8,5.0,11.48,5.37,False,True,True,8,0.00036232372984279065
1523,Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,First,15.04,1598.0,103.6,5.0,11.48,5.45,False,True,True,12,0.00010480769230769231
1524,Mahindra XUV500 W4,Mumbai,2016,33000,First,16.0,2179.0,140.0,7.0,11.48,9.25,False,False,True,8,0.0002803030303030303
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,23.0,1498.0,98.96,5.0,13.23,7.7,False,False,True,8,0.0002636986301369863
1526,Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,First,17.72,1968.0,108.49,5.0,11.48,7.99,False,False,True,12,8.009703871523949e-05
1527,Hyundai i10 Sportz,Chennai,2012,49000,First,20.36,1197.0,78.9,5.0,11.48,3.0,False,True,True,12,6.122448979591836e-05
1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,First,12.8,2494.0,102.0,8.0,11.48,4.0,False,False,True,19,1.3363534922257636e-05
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,20.65,1248.0,88.7,5.0,10.06,6.69,False,False,True,6,0.00017462803445575568
1530,Maruti Swift VDI,Delhi,2014,56000,First,22.9,1248.0,74.0,5.0,11.48,4.25,False,False,True,10,7.589285714285714e-05
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498.0,108.4,5.0,15.34,10.5,False,False,False,7,0.0003354632587859425
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393.0,147.8,8.0,24.01,22.55,False,False,True,5,0.002006049283871542
1533,Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Second,17.01,1591.0,121.3,5.0,11.48,5.2,False,True,True,10,0.00010833333333333334
1534,Honda City i VTEC VX Option,Coimbatore,2019,23882,First,17.4,1497.0,117.3,5.0,11.48,11.87,False,True,True,5,0.0004970270496608323
1535,Honda City i DTEC SV,Hyderabad,2014,65000,First,26.0,1498.0,98.6,5.0,11.48,6.99,False,False,True,10,0.00010753846153846154
1536,Volkswagen Vento Diesel Highline,Jaipur,2011,50000,First,20.54,1598.0,103.6,5.0,11.48,5.0,False,False,True,13,0.0001
1537,Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,First,12.19,2967.0,236.0,5.0,11.48,44.0,False,False,False,10,0.00176
1538,Maruti Alto 800 LXI,Chennai,2015,21000,First,22.74,796.0,47.3,5.0,11.48,2.79,False,True,True,9,0.00013285714285714287
1539,Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Second,21.12,1248.0,88.8,5.0,11.48,2.9,False,False,True,12,1.9594594594594595e-05
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,First,15.29,1591.0,121.3,5.0,11.48,9.85,False,True,True,8,0.00014485294117647058
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,First,12.0,2987.0,224.0,7.0,11.48,49.0,False,False,False,10,0.0009423076923076923
1542,Mahindra Thar CRDe,Jaipur,2016,19000,First,16.55,2498.0,105.0,6.0,11.39,9.25,False,False,True,8,0.0004868421052631579
1543,Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Second,22.32,1582.0,126.3,5.0,11.48,3.75,False,False,True,13,5.067567567567567e-05
1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,26.1,1498.0,99.0,5.0,9.79,7.29,False,False,True,7,0.00024076092341226591
1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,20.7,1496.0,113.98,4.0,35.0,23.5,False,False,False,8,0.001175
1546,Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,First,14.0,796.0,35.0,5.0,11.48,2.6,False,True,True,11,7.463971981397485e-05
1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Second,21.03,1461.0,65.0,5.0,9.26,3.1,False,False,True,9,3.444444444444445e-05
1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,First,14.21,2143.0,203.0,5.0,11.48,29.98,False,False,False,8,0.0007740769429382908
1549,Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,First,19.01,1461.0,108.45,5.0,11.48,6.73,False,False,True,8,0.00011726781669280364
1550,Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,First,23.4,1248.0,74.0,5.0,11.48,3.5,False,False,True,8,3.5e-05
1551,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,First,16.47,1198.0,73.9,5.0,11.48,2.35,False,True,True,13,4.7000000000000004e-05
1552,Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,First,16.0,2179.0,140.0,7.0,11.48,16.13,False,False,True,7,0.0002483028278505565
1553,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,First,16.47,1198.0,74.0,5.0,11.48,5.9,False,True,True,10,8.141861588352998e-05
1554,Maruti Ritz VXI,Hyderabad,2012,68776,First,21.1,1197.0,85.8,5.0,11.48,3.9,False,True,True,12,5.670582761428405e-05
1556,Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,First,12.8,2494.0,102.0,7.0,11.48,6.95,False,False,True,12,0.00010220588235294117
1557,Honda City i DTec SV,Delhi,2015,33000,First,26.0,1498.0,98.6,5.0,11.48,7.0,False,False,True,9,0.00021212121212121213
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,17.0,1198.0,73.75,5.0,8.68,7.23,False,True,True,7,0.0003229264370896423
1559,Maruti SX4 ZDI Leather,Mumbai,2012,90000,First,21.5,1248.0,88.8,5.0,11.48,3.81,False,False,True,12,4.233333333333334e-05
1560,Maruti Swift ZXI,Chennai,2012,42000,Third,18.6,1197.0,85.8,5.0,11.48,4.5,False,True,True,12,0.00010714285714285714
1561,Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,First,19.67,1582.0,126.2,5.0,11.48,12.6,False,False,True,7,0.0003250187014729022
1562,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,First,12.07,2967.0,241.4,7.0,11.48,48.0,False,False,False,9,0.002285714285714286
1563,Maruti Alto LXi BSIII,Coimbatore,2010,59136,First,19.7,796.0,46.3,5.0,11.48,2.96,False,True,True,14,5.0054112554112554e-05
1564,Honda Amaze SX i-DTEC,Kolkata,2014,36000,First,25.8,1498.0,98.6,5.0,11.48,3.25,False,False,True,10,9.027777777777777e-05
1565,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Second,18.33,1968.0,167.7,5.0,11.48,8.5,False,False,False,13,8.947368421052632e-05
1566,Hyundai Elantra CRDi SX AT,Mumbai,2013,51000,First,19.5,1582.0,126.24,5.0,11.48,8.75,False,False,False,11,0.0001715686274509804
1567,Maruti Wagon R VXI BS IV,Kochi,2011,36411,First,18.9,998.0,67.1,5.0,11.48,3.08,False,True,True,13,8.45898217571613e-05
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,12.81,1999.0,148.31,7.0,66.39,41.5,False,False,False,7,0.0010375
1569,Honda City i VTEC SV,Pune,2016,27300,First,17.8,1497.0,117.3,5.0,11.48,7.0,False,True,True,8,0.0002564102564102564
1570,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,Second,14.74,1991.0,181.03,5.0,11.48,11.5,False,True,False,13,0.0003857377654043538
1571,Maruti Wagon R LX BS IV,Pune,2011,71000,First,20.51,998.0,67.04,5.0,11.48,2.6,False,True,True,13,3.6619718309859154e-05
1572,Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,First,22.32,1582.0,126.3,5.0,11.48,4.3,False,False,True,10,0.000134375
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,17.06,1968.0,141.0,5.0,36.45,24.9,False,False,False,7,0.0004929716887745
1575,BMW X1 sDrive 20d Exclusive,Pune,2011,102000,First,15.06,1995.0,177.0,5.0,11.48,13.75,False,False,False,13,0.00013480392156862744
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,First,24.0,1186.0,73.97,5.0,11.48,3.85,False,False,True,10,9.106606429027604e-05
1577,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,First,13.0,2143.0,201.1,5.0,11.48,23.25,False,False,False,10,0.0005054347826086956
1579,Hyundai Grand i10 Asta Option,Bangalore,2015,50000,First,18.9,1197.0,82.0,5.0,11.48,5.75,False,True,True,9,0.000115
1580,Hyundai i10 Magna 1.2,Mumbai,2008,62000,Second,20.36,1197.0,78.9,5.0,11.48,1.65,False,True,True,16,2.661290322580645e-05
1581,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,2012,78000,First,19.33,1968.0,138.1,5.0,11.48,6.5,False,False,True,12,8.333333333333333e-05
1582,Skoda Yeti Elegance,Chennai,2011,79000,First,17.67,1968.0,138.08,5.0,11.48,7.5,False,False,True,13,9.493670886075949e-05
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,14.75,2967.0,245.0,7.0,91.38,72.94,False,False,False,5,0.010769230769230769
1584,Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Second,11.5,2982.0,171.0,7.0,11.48,11.0,False,False,True,14,8.148148148148148e-05
1585,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,First,18.9,1061.0,67.0,5.0,11.48,3.02,False,True,True,11,8.225296873297745e-05
1586,Hyundai EON Era,Coimbatore,2013,65060,First,21.1,814.0,55.2,5.0,11.48,3.32,False,True,True,11,5.1029818628957884e-05
1587,Honda Brio S MT,Delhi,2013,33000,First,19.4,1198.0,86.8,5.0,11.48,3.24,False,True,True,11,9.818181818181818e-05
1588,Maruti Alto 800 VXI,Kolkata,2015,11110,First,22.74,796.0,47.3,5.0,11.48,2.35,False,True,True,9,0.00021152115211521154
1589,Mahindra Bolero ZLX,Jaipur,2013,63000,First,15.96,2523.0,62.1,7.0,11.15,5.5,False,False,True,11,8.73015873015873e-05
1590,Honda City i VTEC SV,Mumbai,2015,27030,First,17.8,1497.0,117.3,5.0,11.48,6.75,False,True,True,9,0.00024972253052164264
1591,Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,First,15.0,1598.0,103.52,5.0,11.48,6.15,False,True,True,9,0.00031377551020408164
1592,Maruti Swift VVT VXI,Pune,2016,27755,First,22.0,1197.0,81.8,5.0,11.48,5.45,False,True,True,8,0.00019636101603314718
1593,Hyundai EON Magna Plus,Hyderabad,2013,20000,Second,21.1,814.0,55.2,5.0,11.48,2.3,False,True,True,11,0.00011499999999999999
1594,Maruti Swift Dzire ZXI,Kochi,2015,24782,First,20.85,1197.0,83.14,5.0,11.48,6.21,False,True,True,9,0.0002505851020902268
1595,Nissan Micra XV CVT,Coimbatore,2014,47303,First,19.34,1198.0,76.0,5.0,11.48,5.21,False,True,False,10,0.00011014100585586538
1596,Audi Q7 4.2 FSI quattro,Delhi,2008,71000,First,8.3,4134.0,250.0,7.0,11.48,11.99,False,True,False,16,0.00016887323943661972
1597,Maruti Swift Vdi BSIII,Pune,2010,135000,First,17.8,1248.0,75.0,5.0,11.48,3.1,False,False,True,14,2.2962962962962965e-05
1598,Tata Xenon XT EX 4X2,Jaipur,2017,1000,First,13.49,2179.0,138.03,5.0,11.48,7.5,False,False,True,7,0.0075
1599,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,First,20.14,1498.0,88.8,5.0,11.48,4.0,False,False,True,8,0.00013793103448275863
1600,Honda City i VTEC SV,Kochi,2016,36367,First,17.8,1497.0,117.3,5.0,11.48,7.73,False,True,True,8,0.00021255533863117663
1601,Honda City i VTEC V,Bangalore,2015,38000,First,17.4,1497.0,117.3,5.0,11.48,7.8,False,True,True,9,0.00020526315789473683
1602,Maruti 800 AC BSIII,Hyderabad,2011,83969,First,16.1,796.0,37.0,4.0,11.48,1.3,False,True,True,13,1.5481904036013292e-05
1603,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,First,20.14,1498.0,88.8,5.0,11.48,4.42,False,False,True,10,5.349729487660522e-05
1604,Chevrolet Captiva LTZ VCDi,Pune,2009,89000,First,12.5,1991.0,147.9,7.0,11.48,4.0,False,False,False,15,4.4943820224719104e-05
1605,Mahindra XUV500 W10 2WD,Kolkata,2016,54000,First,16.0,2179.0,140.0,7.0,11.48,13.0,False,False,True,8,0.00024074074074074075
1606,Honda Amaze VX i-DTEC,Kochi,2015,61691,First,25.8,1498.0,98.6,5.0,11.48,5.38,False,False,True,9,8.720883110988637e-05
1607,Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Second,17.0,1197.0,80.0,5.0,11.48,3.25,False,True,True,13,0.00010093167701863354
1608,Maruti Wagon R AMT VXI,Jaipur,2016,68630,First,20.51,998.0,67.0,5.0,11.48,3.87,False,True,False,8,5.638933411044733e-05
1609,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Second,16.96,1968.0,138.03,5.0,11.48,8.25,False,False,False,10,0.00013524590163934425
